trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT00016887,Chemotherapy Followed by Radiation Therapy and Peripheral Stem Cell Transplant Compared With Chemotherapy Plus Interferon Alfa in Treating Patients With Stage III or Stage IV Mantle Cell Lymphoma,UNKNOWN,PHASE3,,,INTERVENTIONAL,German Low Grade Lymphoma Study Group,,166,2000-12,
NCT07351487,Neoadjuvant Chemotherapy Combined With Sintilimab and Bevacizumab for TNBC (NEOTORCH-BREAST07),RECRUITING,PHASE2,37.0,,INTERVENTIONAL,First Affiliated Hospital of Zhejiang University,,554,2025-09-25,
NCT03404193,Venetoclax and Decitabine in Treating Participants With Relapsed/Refractory Acute Myeloid Leukemia or Relapsed High-Risk Myelodysplastic Syndrome,TERMINATED,PHASE2,235.0,,INTERVENTIONAL,M.D. Anderson Cancer Center,,567,2018-01-18,
NCT00575393,Gold Sodium Thiomalate in Treating Patients With Advanced Non-Small Cell Lung Cancer,COMPLETED,PHASE1,17.0,,INTERVENTIONAL,Mayo Clinic,,255,2007-01-25,
NCT04850716,Relationship Between Standard Treatment Efficacy and The Tumor Microenvironment in Advanced Gastric Cancer,UNKNOWN,,89.0,,OBSERVATIONAL,"Nanfang Hospital, Southern Medical University",,92,2021-04-27,
NCT07279116,ABY-029 Head & Neck Trial,NOT_YET_RECRUITING,PHASE1,24.0,,INTERVENTIONAL,Dartmouth-Hitchcock Medical Center,,91,2026-02-28,
NCT00017316,Thalidomide and SU5416 in Treating Patients With Metastatic Melanoma,COMPLETED,PHASE2,35.0,,INTERVENTIONAL,National Cancer Institute (NCI),,332,2001-03,
NCT02722616,Ultrasound Monitoring of Abdominal Soft Tissue,TERMINATED,NA,2.0,,INTERVENTIONAL,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,53,2016-05,
NCT00112216,Immunotherapy of Melanoma Patients,COMPLETED,PHASE1,9.0,,INTERVENTIONAL,Centre Hospitalier Universitaire Vaudois,,129,1999-05,
NCT06100016,A Clinical Study Aims to Assess the Consistency of Clinical Efficacy in Colorectal Cancer Treatment and Drug Susceptibility Outcomes Using a Novel Drug Susceptibility Testing Method,UNKNOWN,,105.0,,OBSERVATIONAL,Funan Liu,,100,2023-10-18,
NCT02408016,Genetically Modified T Cells in Treating Patients With Stage III-IV Non-small Cell Lung Cancer or Mesothelioma,TERMINATED,"PHASE1, PHASE2",11.0,,INTERVENTIONAL,Fred Hutchinson Cancer Center,,887,2015-05-22,
NCT04550416,Effects of a New Diagnostic Test on the Care of Prostate Cancer Patients: The ProMark™ Clinical Utility Study,COMPLETED,NA,217.0,,INTERVENTIONAL,"Qure Healthcare, LLC",,106,2014-05,
NCT04443816,Advanced Geriatric Evaluation and Quality of Life in Colorectal Cancer Surgery,COMPLETED,,273.0,,OBSERVATIONAL,St. Antonius Hospital,,31,2018-01-01,
NCT02271516,to evaluate188Re-BMEDA-liposome in Patient With Primary Solid Tumor in Advanced or Metastatic Stage,TERMINATED,PHASE1,3.0,,INTERVENTIONAL,"National Atomic Research Institute, Taiwan",,86,2014-10,
NCT00217516,Selenium in Treating Patients Who Are Undergoing Brachytherapy for Stage I or Stage II Prostate Cancer,COMPLETED,PHASE1,18.0,,INTERVENTIONAL,Roswell Park Cancer Institute,,145,2005-03,
